GAME_DATE_EST,GAME_ID,TEAM_ABBREVIATION,PTS,H
2010-10-26T00:00:00,21000001,BOS,88,H
2010-10-26T00:00:00,21000001,MIA,80,A
2010-10-26T00:00:00,21000002,POR,106,H
2010-10-26T00:00:00,21000002,PHX,92,A
2010-10-26T00:00:00,21000003,LAL,112,H
2010-10-26T00:00:00,21000003,HOU,110,A
2010-10-27T00:00:00,21000004,CLE,95,H
2010-10-27T00:00:00,21000004,BOS,87,A
2010-10-27T00:00:00,21000005,NJN,101,H
2010-10-27T00:00:00,21000005,DET,98,A
2010-10-27T00:00:00,21000006,PHI,87,H
2010-10-27T00:00:00,21000006,MIA,97,A
2010-10-27T00:00:00,21000007,TOR,93,H
2010-10-27T00:00:00,21000007,NYK,98,A
2010-10-27T00:00:00,21000008,MEM,104,H
2010-10-27T00:00:00,21000008,ATL,119,A
2010-10-27T00:00:00,21000009,MIN,116,H
2010-10-27T00:00:00,21000009,SAC,117,A
2010-10-27T00:00:00,21000010,NOH,95,H
2010-10-27T00:00:00,21000010,MIL,91,A
2010-10-27T00:00:00,21000011,OKC,106,H
2010-10-27T00:00:00,21000011,CHI,95,A
2010-10-27T00:00:00,21000012,DAL,101,H
2010-10-27T00:00:00,21000012,CHA,86,A
2010-10-27T00:00:00,21000013,SAS,122,H
2010-10-27T00:00:00,21000013,IND,109,A
2010-10-27T00:00:00,21000014,DEN,110,H
2010-10-27T00:00:00,21000014,UTA,88,A
2010-10-27T00:00:00,21000015,GSW,132,H
2010-10-27T00:00:00,21000015,HOU,128,A
2010-10-27T00:00:00,21000016,LAC,88,H
2010-10-27T00:00:00,21000016,POR,98,A
2010-10-28T00:00:00,21000017,ORL,112,H
2010-10-28T00:00:00,21000017,WAS,83,A
2010-10-28T00:00:00,21000018,UTA,94,H
2010-10-28T00:00:00,21000018,PHX,110,A
2010-10-29T00:00:00,21000019,CHA,101,H
2010-10-29T00:00:00,21000019,IND,104,A
2010-10-29T00:00:00,21000020,NJN,106,H
2010-10-29T00:00:00,21000020,SAC,100,A
2010-10-29T00:00:00,21000021,PHI,101,H
2010-10-29T00:00:00,21000021,ATL,104,A
2010-10-29T00:00:00,21000022,TOR,101,H
2010-10-29T00:00:00,21000022,CLE,81,A
2010-10-29T00:00:00,21000023,BOS,105,H
2010-10-29T00:00:00,21000023,NYK,101,A
2010-10-29T00:00:00,21000024,DET,104,H
2010-10-29T00:00:00,21000024,OKC,105,A
2010-10-29T00:00:00,21000025,MIA,96,H
2010-10-29T00:00:00,21000025,ORL,70,A
2010-10-29T00:00:00,21000026,MIN,96,H
2010-10-29T00:00:00,21000026,MIL,85,A
2010-10-29T00:00:00,21000027,NOH,101,H
2010-10-29T00:00:00,21000027,DEN,95,A
2010-10-29T00:00:00,21000028,DAL,90,H
2010-10-29T00:00:00,21000028,MEM,91,A
2010-10-29T00:00:00,21000029,GSW,109,H
2010-10-29T00:00:00,21000029,LAC,91,A
2010-10-29T00:00:00,21000030,PHX,106,H
2010-10-29T00:00:00,21000030,LAL,114,A
2010-10-30T00:00:00,21000031,ATL,99,H
2010-10-30T00:00:00,21000031,WAS,95,A
2010-10-30T00:00:00,21000032,CLE,104,H
2010-10-30T00:00:00,21000032,SAC,107,A
2010-10-30T00:00:00,21000033,NYK,95,H
2010-10-30T00:00:00,21000033,POR,100,A
2010-10-30T00:00:00,21000034,IND,99,H
2010-10-30T00:00:00,21000034,PHI,86,A
2010-10-30T00:00:00,21000035,CHI,101,H
2010-10-30T00:00:00,21000035,DET,91,A
2010-10-30T00:00:00,21000036,MEM,109,H
2010-10-30T00:00:00,21000036,MIN,89,A
2010-10-30T00:00:00,21000037,HOU,94,H
2010-10-30T00:00:00,21000037,DEN,107,A
2010-10-30T00:00:00,21000038,MIL,98,H
2010-10-30T00:00:00,21000038,CHA,88,A
2010-10-31T00:00:00,21000043,LAL,107,H
2010-10-31T00:00:00,21000043,GSW,83,A
2010-11-01T00:00:00,21000044,CHI,110,H
2010-11-01T00:00:00,21000044,POR,98,A
2010-11-01T00:00:00,21000045,SAC,111,H
2010-11-01T00:00:00,21000045,TOR,108,A
2010-11-01T00:00:00,21000046,LAC,88,H
2010-11-01T00:00:00,21000046,SAS,97,A
2010-11-02T00:00:00,21000047,CLE,88,H
2010-11-02T00:00:00,21000047,ATL,100,A
2010-11-02T00:00:00,21000048,WAS,116,H
2010-11-02T00:00:00,21000048,PHI,115,A
2010-11-02T00:00:00,21000049,DET,86,H
2010-11-02T00:00:00,21000049,BOS,109,A
2010-11-02T00:00:00,21000050,MIA,129,H
2010-11-02T00:00:00,21000050,MIN,97,A
2011-03-28T00:00:00,21000051,NYK,113,H
2011-03-28T00:00:00,21000051,ORL,106,A
2010-11-02T00:00:00,21000052,MIL,76,H
2010-11-02T00:00:00,21000052,POR,90,A
2010-11-02T00:00:00,21000053,LAL,124,H
2010-11-02T00:00:00,21000053,MEM,105,A
2010-11-03T00:00:00,21000054,ATL,94,H
2010-11-03T00:00:00,21000054,DET,85,A
2010-11-03T00:00:00,21000055,NJN,83,H
2010-11-03T00:00:00,21000055,CHA,85,A
2010-11-03T00:00:00,21000056,ORL,128,H
2010-11-03T00:00:00,21000056,MIN,86,A
2010-11-03T00:00:00,21000057,PHI,101,H
2010-11-03T00:00:00,21000057,IND,75,A
2010-11-03T00:00:00,21000058,BOS,105,H
2010-11-03T00:00:00,21000058,MIL,102,A
2010-11-03T00:00:00,21000059,HOU,99,H
2010-11-03T00:00:00,21000059,NOH,107,A
2010-11-03T00:00:00,21000060,DEN,101,H
2010-11-03T00:00:00,21000060,DAL,102,A
2010-11-03T00:00:00,21000061,UTA,125,H
2010-11-03T00:00:00,21000061,TOR,108,A
2010-11-03T00:00:00,21000062,PHX,110,H
2010-11-03T00:00:00,21000062,SAS,112,A
2010-11-03T00:00:00,21000063,GSW,115,H
2010-11-03T00:00:00,21000063,MEM,109,A
2010-11-03T00:00:00,21000064,LAC,107,H
2010-11-03T00:00:00,21000064,OKC,92,A
2010-11-03T00:00:00,21000065,SAC,100,H
2010-11-03T00:00:00,21000065,LAL,112,A
2010-11-04T00:00:00,21000066,CHI,112,H
2010-11-04T00:00:00,21000066,NYK,120,A
2010-11-04T00:00:00,21000067,POR,106,H
2010-11-04T00:00:00,21000067,OKC,107,A
2010-11-05T00:00:00,21000068,IND,90,H
2010-11-05T00:00:00,21000068,MIL,94,A
2010-11-05T00:00:00,21000069,ORL,105,H
2010-11-05T00:00:00,21000069,NJN,90,A
2010-11-05T00:00:00,21000070,PHI,116,H
2010-11-05T00:00:00,21000070,CLE,123,A
2010-11-05T00:00:00,21000071,DET,97,H
2010-11-05T00:00:00,21000071,CHA,90,A
2010-11-05T00:00:00,21000072,NYK,112,H
2010-11-05T00:00:00,21000072,WAS,91,A
2010-11-05T00:00:00,21000073,BOS,110,H
2010-11-05T00:00:00,21000073,CHI,105,A
2010-11-05T00:00:00,21000074,MIN,103,H
2010-11-05T00:00:00,21000074,ATL,113,A
2010-11-05T00:00:00,21000075,NOH,96,H
2010-11-05T00:00:00,21000075,MIA,93,A
2010-11-05T00:00:00,21000076,PHX,123,H
2010-11-05T00:00:00,21000076,MEM,118,A
2010-11-05T00:00:00,21000077,DEN,111,H
2010-11-05T00:00:00,21000077,LAC,104,A
2010-11-05T00:00:00,21000078,GSW,85,H
2010-11-05T00:00:00,21000078,UTA,78,A
2010-11-05T00:00:00,21000079,LAL,108,H
